mies;rok;pepsi;fanta ;żywiec;okocim;regionalne;cola;lech
3;2007;108137;37260;183503;59801;47312;222394;67212
4;2007;107640;44955;179128;58148;47899;245353;55066
5;2007;119722;45564;167951;59957;49441;237276;68871
6;2007;111931;35285;181445;65109;48994;230901;62626
7;2007;104458;44425;173140;59826;49772;225641;66270
8;2007;111977;39897;179715;65635;49740;213936;63792
9;2007;101915;29528;173592;59837;48082;228411;65447
10;2007;112436;44107;177756;56194;44903;237303;67540
11;2007;111906;44184;176295;60157;51406;248363;56539
12;2007;104697;39684;172622;57998;48132;233216;55390
1;2008;107778;40751;180776;70452;49649;236473;59052
2;2008;116142;43999;180467;50739;48612;237901;58096
3;2008;111111;46814;176430;54059;49125;223956;58376
4;2008;107371;50173;170425;60026;48350;214568;55359
5;2008;110460;47368;178231;61440;51627;223963;67478
6;2008;110611;39223;184142;68335;45697;235576;49331
7;2008;123347;46325;171161;60087;47981;221329;65230
8;2008;112043;43434;184683;53227;48570;230042;63719
9;2008;101447;45606;183357;51189;46801;228031;68720
10;2008;106363;45254;174728;61350;43655;220331;64720
11;2008;112947;37440;179350;61186;50896;234516;68146
12;2008;114381;38910;177884;53570;49467;226204;64808
1;2009;109353;45490;182640;63457;49568;222607;63253
2;2009;120086;40820;174590;64975;45789;232121;61058
3;2009;110518;45056;176857;62535;52414;239547;54416
4;2009;106595;46360;172948;53450;45621;248371;67617
5;2009;109243;50747;171696;58853;43551;231408;56927
6;2009;100713;50436;180643;58335;48699;219760;64328
7;2009;112203;43809;178013;60761;47952;226612;60698
8;2009;102500;43983;168772;59635;43308;223206;64637
9;2009;109922;40037;177846;66222;47613;220375;50280
10;2009;117509;46376;175420;70664;44356;219632;56574
11;2009;100563;42633;176776;54292;51557;208588;64778
12;2009;107414;39647;175165;66891;48287;223220;62420
1;2010;109064;46861;186534;64790;45600;232960;66212
2;2010;109744;44811;179066;53353;50853;237689;64996
3;2010;119390;49132;168205;63134;46946;222920;57092
4;2010;118087;50732;172016;64021;49685;233220;58090
5;2010;109903;41101;181307;67650;56446;222170;65187
6;2010;110595;42472;179723;58923;47739;220602;65082
7;2010;108748;34340;169834;51280;48169;236537;55272
8;2010;121624;50595;181825;62413;48032;217158;60522
9;2010;108014;44060;182216;59347;50128;219801;72054
10;2010;102774;34645;173686;65462;50847;212894;75540
11;2010;117490;48183;182887;62242;47248;223080;57420
12;2010;117970;42651;178104;59817;51996;205292;61492
1;2011;105397;49134;179142;62767;44592;211942;67295
2;2011;117440;45907;176239;64741;46351;221375;53492
3;2011;115128;23842;172250;61748;51385;223085;60658
4;2011;109481;35728;179821;56917;45708;218131;58234
5;2011;112607;48487;169649;60475;51556;213498;61539
6;2011;113504;43492;174547;48000;48636;235392;61970
7;2011;115998;50118;177778;57100;52628;220178;69153
8;2011;115532;39229;177952;54794;52269;226208;62616
9;2011;113056;46431;169887;61468;51461;220035;50833
10;2011;117815;39536;175291;58504;52615;230780;57177
11;2011;104869;38295;163076;57830;46484;229600;58482
12;2011;109008;36117;175079;67625;46750;228562;62264
1;2012;120999;52591;178375;65308;50433;222190;54616
2;2012;118041;41210;172945;61924;47890;224954;57673
3;2012;111150;51344;185524;61530;51123;221642;62698
4;2012;103639;44427;173982;55970;50706;240331;67576
5;2012;113354;47575;174605;52160;50548;213471;55445
6;2012;116605;44593;178804;59935;44883;227063;52883
7;2012;107388;45694;181227;69450;45269;208610;61286
8;2012;117589;37703;174044;65235;56293;227222;64065
9;2012;103149;41365;173670;56928;47882;225854;56309
10;2012;124572;48735;181061;59144;44929;245442;60932
11;2012;113406;45411;181906;59608;50475;243139;60180
12;2012;111881;50330;174994;49873;44693;223720;57630
1;2013;119027;49163;174439;64658;53477;233981;56285
2;2013;116019;45918;177318;61201;48654;214750;59433
3;2013;110172;45698;177280;61475;48446;198005;70027
4;2013;108840;38988;177821;54869;44120;234192;57067
5;2013;109827;45035;168395;55055;46310;226371;64839
6;2013;120929;41722;168664;57069;53310;235207;59730
7;2013;114510;50729;181195;54286;56395;233380;64263
8;2013;110792;55207;171537;58122;57425;228905;55228
9;2013;106889;38250;175060;55326;58354;242125;59970
10;2013;115311;37864;180679;56751;52629;226278;54979
11;2013;110063;35903;180331;60583;46062;231889;60251
12;2013;108879;44593;176223;61154;49016;214319;59214
1;2014;110080;36028;171831;58142;54740;231883;62294
2;2014;111285;38270;168950;59615;48047;241952;64313
3;2014;109199;43093;176861;61745;47038;221195;68857
4;2014;104806;45131;176706;66213;52441;240200;62124
5;2014;122231;50162;173475;62962;53531;226629;62727
6;2014;125202;46386;181252;65266;53586;227412;53142
7;2014;110527;45802;168156;64631;62510;220829;55133
8;2014;109721;34118;182264;58921;53482;209511;62689
9;2014;111802;51755;174155;58533;51591;218299;60552
10;2014;103121;42143;181185;61889;46470;230110;58108
11;2014;109914;46086;171665;60153;53660;225915;60347
12;2014;109456;36208;178221;68882;46393;233109;61583
1;2015;116438;38424;175105;58811;53735;234712;62817
2;2015;110242;54011;180618;64372;51911;237482;54127
3;2015;108895;45966;175657;64775;56495;239776;55536
4;2015;111055;45976;175809;64028;49805;233943;57739
5;2015;100788;36099;180519;58513;60818;213144;60485
6;2015;105226;55199;176980;65387;49150;224122;59095
7;2015;113036;45345;176530;61160;45002;225571;56471
8;2015;113021;39440;179817;62911;40573;226672;51398
9;2015;113811;47192;185067;63888;49077;232269;66780
10;2015;110859;51285;172026;62948;58483;217419;65621
11;2015;113251;47319;177004;67388;59886;227171;63814
12;2015;110105;30718;181380;59365;59525;233358;68460
1;2016;102040;39116;181501;60207;52287;228359;51376
2;2016;109322;38667;182152;58008;44836;231114;62084
3;2016;108039;48108;179221;54359;48474;199815;53312
4;2016;113002;41721;179037;64655;49260;221944;66103
5;2016;109590;48840;177932;61260;54271;219085;61867
6;2016;105666;41023;175298;63966;60592;235575;56194
7;2016;111811;39667;170174;67012;54146;223126;61038
8;2016;105949;43017;169329;64262;58101;222531;58037
9;2016;103420;44310;173923;67591;44565;230270;65156
10;2016;120363;50688;175856;63791;51376;247155;59276
11;2016;101215;41924;175914;62570;59505;240524;61765
12;2016;114300;42314;178209;65923;58508;223129;68106
